@relation newData

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute label {buggy,clean}

@data
49,3,3,1,0,0,?
64,1,2,19,0,0,?
141,20,6,70,0,0,?
121,0,6,40,0,0,?
85,1,7,43,0,0,?
139,1,11,98,0,0,?
32,0,1,3,0,0,?
40,0,2,3,0,0,?
32,0,1,1,0,0,?
66,3,2,4,0,0,?
56,3,1,8,0,0,?
75,3,2,15,0,0,?
108,4,6,54,0,0,?
58,3,1,9,0,0,?
84,6,4,22,0,0,?
97,4,5,31,0,0,?
59,3,2,20,0,0,?
62,5,2,12,0,0,?
73,5,5,20,0,0,?
70,3,4,16,0,0,?
57,3,2,4,0,1,?
35,1,2,0,0,0,?
68,4,5,7,0,0,?
37,0,1,1,0,0,?
36,0,1,1,0,0,?
66,2,2,9,0,1,?
69,3,5,8,0,2,?
44,1,3,0,0,0,?
37,0,1,0,0,0,?
41,1,2,0,0,0,?
65,3,5,2,0,0,?
57,1,4,7,0,2,?
30,0,1,0,0,0,?
41,0,2,1,0,0,?
72,4,2,15,0,3,?
29,0,1,1,0,0,?
55,3,2,11,0,0,?
29,0,1,1,0,0,?
30,0,1,0,0,0,?
52,2,1,6,0,0,?
41,0,2,1,0,0,?
30,0,1,1,0,0,?
45,2,2,3,0,0,?
61,5,2,16,0,0,?
59,1,4,5,0,0,?
29,0,1,1,0,0,?
71,4,3,15,0,0,?
60,0,4,5,0,0,?
115,9,5,32,0,1,?
53,2,3,4,0,0,?
30,0,1,0,0,0,?
73,5,2,16,0,0,?
39,1,1,2,0,0,?
29,0,1,1,0,0,?
51,2,1,7,0,0,?
25,0,1,0,0,0,?
36,0,2,2,0,0,?
59,1,4,2,0,0,?
31,1,2,0,0,0,?
41,1,1,4,0,0,?
41,1,1,4,0,0,?
426,3,53,289,0,0,?
233,19,20,93,0,0,?
41,1,1,4,0,0,?
66,0,2,4,0,0,?
71,4,5,17,0,0,?
54,1,1,3,0,0,?
66,2,2,3,0,0,?
80,3,3,15,0,0,?
58,2,2,5,0,0,?
54,2,2,2,0,1,?
30,0,0,0,0,0,?
84,3,5,10,0,0,?
59,1,2,2,0,0,?
168,9,11,31,0,0,?
46,1,1,2,0,0,?
48,0,0,0,0,0,?
30,0,0,0,0,0,?
31,0,0,0,0,0,?
28,0,0,0,0,0,?
84,11,5,29,0,0,?
60,2,1,3,0,0,?
47,1,2,5,0,0,?
36,0,1,0,0,0,?
233,21,19,131,0,0,?
36,0,1,0,0,0,?
46,1,1,2,0,0,?
53,2,1,3,0,0,?
124,9,10,15,0,0,?
48,0,0,0,0,0,?
175,0,8,13,0,0,?
70,0,2,6,0,0,?
48,0,0,0,0,0,?
55,1,2,2,0,0,?
63,2,2,4,0,0,?
113,7,7,12,0,0,?
48,1,1,2,0,0,?
59,2,1,4,0,0,?
64,0,2,4,0,0,?
56,1,1,4,0,0,?
68,1,2,2,0,0,?
69,0,3,0,0,0,?
35,0,1,2,0,0,?
32,0,0,0,0,0,?
38,0,0,0,0,0,?
26,0,0,0,0,0,?
24,0,0,0,0,0,?
28,0,1,0,0,0,?
110,2,10,38,0,0,?
28,0,1,0,0,0,?
51,1,1,2,0,0,?
64,1,1,6,0,0,?
171,10,8,41,0,0,?
75,2,1,5,0,0,?
62,1,1,6,0,0,?
120,8,9,25,0,0,?
95,5,5,10,0,0,?
92,3,4,13,0,0,?
60,3,3,20,0,0,?
142,2,10,101,0,0,?
153,7,11,89,0,0,?
81,2,3,10,0,0,?
93,2,4,8,0,0,?
47,0,2,3,0,0,?
171,16,14,86,0,0,?
189,22,14,88,0,0,?
93,2,4,4,0,0,?
113,13,8,33,0,0,?
83,2,3,5,0,0,?
386,57,33,196,1,6,?
46,0,2,3,0,0,?
96,9,5,30,0,0,?
144,7,12,37,0,0,?
100,8,5,29,0,0,?
62,3,1,6,0,0,?
58,2,1,6,0,0,?
84,3,5,7,0,0,?
61,2,1,3,0,0,?
56,2,1,6,0,0,?
100,6,4,30,0,0,?
69,2,2,7,0,0,?
99,5,4,27,0,0,?
95,4,6,14,0,0,?
35,0,0,0,0,0,?
56,1,1,6,0,0,?
57,1,1,7,0,0,?
58,2,1,6,0,0,?
57,1,1,7,0,0,?
72,2,2,5,0,0,?
90,4,5,10,0,0,?
319,13,24,115,0,0,?
88,4,3,20,0,0,?
30,0,1,0,0,0,?
41,1,3,1,0,0,?
29,0,1,0,0,0,?
40,1,3,1,0,0,?
49,2,4,2,0,0,?
28,0,1,0,0,0,?
32,0,1,0,0,0,?
37,1,2,0,0,0,?
41,1,3,0,0,0,?
28,0,1,0,0,0,?
34,0,1,0,0,0,?
32,0,1,0,0,0,?
33,0,0,0,0,0,?
171,22,8,69,0,0,?
35,0,0,0,0,0,?
56,1,1,6,0,0,?
95,7,4,70,0,0,?
60,6,2,17,0,0,?
56,1,1,6,0,0,?
75,2,3,11,0,0,?
73,6,6,30,0,0,?
62,3,1,5,0,0,?
56,2,1,6,0,0,?
62,3,1,9,0,0,?
62,2,1,6,0,0,?
63,3,1,5,0,0,?
89,4,5,10,0,0,?
64,2,3,8,0,0,?
63,3,1,6,0,0,?
112,11,7,60,0,0,?
53,2,1,6,0,0,?
95,3,4,17,0,0,?
67,2,3,9,0,0,?
56,1,1,6,0,0,?
126,4,11,33,0,0,?
122,7,7,31,0,2,?
131,13,6,49,0,0,?
53,2,1,6,0,0,?
87,4,3,20,0,0,?
313,13,19,204,0,0,?
57,1,1,7,0,0,?
56,1,1,7,0,0,?
49,1,2,11,0,0,?
89,5,4,27,0,0,?
49,1,1,5,0,0,?
75,3,7,4,0,1,?
89,5,4,32,0,0,?
1242,29,205,784,0,0,?
116,15,7,55,0,0,?
76,7,6,18,0,0,?
85,7,7,27,0,0,?
90,5,4,32,0,0,?
66,3,7,4,0,1,?
93,6,8,32,0,0,?
209,38,20,90,0,0,?
79,4,7,22,0,0,?
54,0,1,1,0,0,?
116,1,6,9,0,0,?
55,0,1,1,0,0,?
54,0,1,1,0,0,?
169,6,15,47,0,10,?
555,16,32,103,0,17,?
20,0,0,0,0,0,?
128,7,7,25,0,2,?
358,17,19,56,0,4,?
103,1,5,3,0,0,?
41,0,1,0,0,0,?
84,0,4,0,0,0,?
84,0,4,0,0,0,?
20,0,0,0,0,0,?
193,5,16,20,0,5,?
386,36,24,105,0,17,?
166,1,2,0,0,0,?
410,28,30,83,0,13,?
54,0,0,0,0,0,?
47,0,2,4,0,0,?
59,0,3,5,0,1,?
35,0,1,0,0,0,?
57,0,0,0,0,0,?
55,0,3,7,0,2,?
85,3,3,13,0,6,?
20,0,0,0,0,0,?
41,0,1,0,0,0,?
21,0,0,0,0,0,?
342,18,22,82,0,9,?
43,0,1,0,0,0,?
43,0,1,3,0,2,?
323,21,26,63,0,8,?
20,0,0,0,0,0,?
199,14,16,38,0,5,?
51,1,2,5,0,1,?
21,0,0,0,0,0,?
101,8,5,31,0,5,?
202,9,14,28,0,4,?
124,6,9,17,0,1,?
193,12,15,26,0,4,?
45,0,1,1,0,1,?
1143,15,59,123,0,7,?
20,0,0,0,0,0,?
89,5,4,4,0,0,?
55,2,2,3,0,1,?
72,2,5,6,0,1,?
20,0,0,0,0,0,?
20,0,0,0,0,0,?
114,7,6,13,0,5,?
20,0,0,0,0,0,?
108,8,7,11,0,2,?
160,10,11,36,0,6,?
110,9,8,17,0,5,?
140,9,10,46,0,5,?
47,0,0,0,0,0,?
120,6,8,31,0,5,?
139,5,8,11,0,3,?
157,0,0,0,0,0,?
66,2,4,5,0,3,?
150,12,11,35,0,5,?
507,49,36,144,0,24,?
105,7,5,25,0,7,?
42,1,1,2,0,0,?
41,1,2,2,0,0,?
146,0,0,0,0,0,?
47,0,0,0,0,0,?
20,0,0,0,0,0,?
204,7,19,34,0,1,?
20,0,0,0,0,0,?
1132,52,84,227,0,24,?
403,11,31,75,0,3,?
129,1,8,8,0,0,?
129,1,8,8,0,0,?
183,4,14,20,0,2,?
104,5,6,20,0,2,?
63,0,3,6,0,0,?
100,2,8,11,0,2,?
81,4,4,2,0,0,?
171,1,13,22,0,1,?
69,3,4,1,0,0,?
20,0,0,0,0,0,?
265,7,24,82,0,1,?
308,16,18,140,0,1,?
76,3,4,16,0,0,?
79,2,3,12,0,1,?
111,4,8,11,0,1,?
281,19,24,52,0,2,?
148,15,9,58,0,0,?
297,49,22,115,0,0,?
93,6,5,29,0,0,?
106,4,12,28,0,0,?
125,15,8,45,0,1,?
309,15,18,92,0,0,?
68,4,4,12,0,0,?
55,1,3,12,0,0,?
130,10,10,53,0,0,?
164,16,11,49,0,0,?
95,3,5,21,0,1,?
60,1,1,3,0,0,?
62,1,1,3,0,0,?
30,0,1,0,0,0,?
30,0,1,0,0,0,?
294,20,29,116,0,1,?
88,2,6,15,0,1,?
55,1,3,12,0,0,?
131,5,8,69,0,1,?
165,9,12,19,0,2,?
93,7,4,32,0,0,?
1074,108,72,535,0,1,?
100,5,6,41,0,0,?
109,7,10,34,0,0,?
77,8,2,21,0,0,?
103,3,4,6,0,0,?
82,1,2,5,0,0,?
101,3,4,6,0,0,?
131,4,9,9,0,0,?
102,3,4,6,0,0,?
117,5,5,18,0,0,?
104,3,4,6,0,0,?
104,3,4,6,0,0,?
104,3,4,6,0,0,?
103,3,4,6,0,0,?
142,4,11,9,0,0,?
101,3,4,6,0,0,?
171,14,18,67,0,2,?
65,1,1,3,0,0,?
95,6,6,25,0,0,?
111,7,10,32,0,1,?
158,10,7,14,0,0,?
237,17,14,73,0,0,?
259,23,18,83,0,0,?
88,5,6,49,0,0,?
159,10,15,64,0,0,?
178,15,12,60,0,0,?
36,0,1,3,0,0,?
69,3,3,13,0,0,?
217,17,13,105,0,2,?
255,17,16,110,0,2,?
65,6,2,14,0,0,?
276,19,15,132,0,0,?
217,17,17,71,0,0,?
52,3,2,12,0,0,?
386,45,14,381,0,2,?
62,0,2,1,0,0,?
60,2,7,2,0,0,?
25,0,1,0,0,0,?
107,4,8,28,0,2,?
